survey_id,parliament_id,parliament,parliament_shortcut,pollster,tasker,method,published_date,fieldwork_start,fieldwork_end,sample_size,party_id,party,party_name,pct,source
498,0,Bundestag,Bundestag,YouGov,YouGov,Unbekannt,2017-05-09,2017-04-27,2017-05-02,1957,7,AfD,Alternative für Deutschland,9.0,DAWUM
499,0,Bundestag,Bundestag,Civey,Spiegel Online,Unbekannt,2017-05-09,2017-05-05,2017-05-09,7518,7,AfD,Alternative für Deutschland,9.2,DAWUM
501,0,Bundestag,Bundestag,Forsa,Stern / RTL,Unbekannt,2017-05-10,2017-05-02,2017-05-05,2004,7,AfD,Alternative für Deutschland,7.0,DAWUM
503,0,Bundestag,Bundestag,Infratest dimap,ARD-Tagesthemen,Unbekannt,2017-05-11,2017-05-08,2017-05-10,1500,7,AfD,Alternative für Deutschland,10.0,DAWUM
506,0,Bundestag,Bundestag,YouGov,YouGov,Unbekannt,2017-05-12,2017-05-08,2017-05-11,2010,7,AfD,Alternative für Deutschland,9.0,DAWUM
507,0,Bundestag,Bundestag,Verian (Emnid),BILD am Sonntag,Unbekannt,2017-05-14,2017-05-04,2017-05-10,1873,7,AfD,Alternative für Deutschland,8.0,DAWUM
508,0,Bundestag,Bundestag,INSA,BILD,Unbekannt,2017-05-16,2017-05-12,2017-05-15,2037,7,AfD,Alternative für Deutschland,10.0,DAWUM
509,0,Bundestag,Bundestag,Civey,Spiegel Online,Unbekannt,2017-05-16,2017-05-11,2017-05-16,7560,7,AfD,Alternative für Deutschland,7.8,DAWUM
510,0,Bundestag,Bundestag,Forsa,Stern / RTL,Unbekannt,2017-05-17,2017-05-08,2017-05-12,2506,7,AfD,Alternative für Deutschland,7.0,DAWUM
511,0,Bundestag,Bundestag,Ipsos,Ipsos,Unbekannt,2017-05-18,2017-05-12,2017-05-14,1049,7,AfD,Alternative für Deutschland,8.0,DAWUM
512,0,Bundestag,Bundestag,Infratest dimap,ARD-Morgenmagazin,Unbekannt,2017-05-19,2017-05-16,2017-05-17,1017,7,AfD,Alternative für Deutschland,9.0,DAWUM
513,0,Bundestag,Bundestag,Forschungsgruppe Wahlen,ZDF-Politbarometer,Unbekannt,2017-05-19,2017-05-16,2017-05-18,1344,7,AfD,Alternative für Deutschland,7.0,DAWUM
515,0,Bundestag,Bundestag,YouGov,YouGov,Unbekannt,2017-05-19,2017-05-15,2017-05-17,2000,7,AfD,Alternative für Deutschland,9.0,DAWUM
516,0,Bundestag,Bundestag,Verian (Emnid),BILD am Sonntag,Unbekannt,2017-05-21,2017-05-11,2017-05-17,2413,7,AfD,Alternative für Deutschland,8.0,DAWUM
517,0,Bundestag,Bundestag,INSA,BILD,Unbekannt,2017-05-22,2017-05-19,2017-05-22,2042,7,AfD,Alternative für Deutschland,8.0,DAWUM
518,0,Bundestag,Bundestag,Forsa,Stern / RTL,Unbekannt,2017-05-23,2017-05-15,2017-05-19,2502,7,AfD,Alternative für Deutschland,7.0,DAWUM
519,0,Bundestag,Bundestag,Civey,Spiegel Online,Unbekannt,2017-05-23,2017-05-18,2017-05-22,7539,7,AfD,Alternative für Deutschland,7.7,DAWUM
521,0,Bundestag,Bundestag,Allensbach,Frankfurter Allgemeine Zeitung,Unbekannt,2017-05-26,2017-05-05,2017-05-19,1457,7,AfD,Alternative für Deutschland,8.0,DAWUM
523,0,Bundestag,Bundestag,Verian (Emnid),BILD am Sonntag,Unbekannt,2017-05-27,2017-05-18,2017-05-23,1703,7,AfD,Alternative für Deutschland,8.0,DAWUM
524,0,Bundestag,Bundestag,INSA,BILD,Unbekannt,2017-05-29,2017-05-26,2017-05-29,2053,7,AfD,Alternative für Deutschland,9.0,DAWUM
525,0,Bundestag,Bundestag,Civey,Spiegel Online,Unbekannt,2017-05-30,2017-05-26,2017-05-29,7563,7,AfD,Alternative für Deutschland,8.8,DAWUM
527,0,Bundestag,Bundestag,Forsa,Stern / RTL,Unbekannt,2017-05-31,2017-05-22,2017-05-26,2001,7,AfD,Alternative für Deutschland,7.0,DAWUM
528,0,Bundestag,Bundestag,Ipsos,Ipsos,Unbekannt,2017-06-01,2017-05-26,2017-05-29,1093,7,AfD,Alternative für Deutschland,8.0,DAWUM
529,0,Bundestag,Bundestag,GMS,GMS,Unbekannt,2017-06-01,2017-05-26,2017-05-31,1016,7,AfD,Alternative für Deutschland,8.0,DAWUM
