month,year_month,month_dt,year,month_num,text_indicator_month_has_articles,n_articles_text_indicators,mean_word_count,median_word_count,total_word_count,migration_terms_per_1000_mean,migration_terms_total,share_articles_with_migration_terms,security_terms_per_1000_mean,security_terms_total,share_articles_with_security_terms,afd_far_right_terms_per_1000_mean,afd_far_right_terms_total,share_articles_with_afd_far_right_terms,remigration_democracy_terms_per_1000_mean,remigration_democracy_terms_total,share_articles_with_remigration_democracy_terms,negative_threat_terms_per_1000_mean,negative_threat_terms_total,share_articles_with_negative_threat_terms,security_share_of_migration_context_mean,migration_terms_per_1000_median,security_terms_per_1000_median,afd_far_right_terms_per_1000_median,remigration_democracy_terms_per_1000_median,negative_threat_terms_per_1000_median
2016-12,2016-12,2016-12-01,2016,12,True,47,651.6170212765958,589.0,30626,30.093581136299164,848,1.0,5.183599942079419,160,0.723404255319149,0.7763149831900235,33,0.23404255319148937,0.32260837518826274,11,0.1702127659574468,4.69317701173475,154,0.7872340425531915,0.23233343099682227,28.61230329041488,3.179650238473768,0.0,0.0,3.5906642728904847
2017-01,2017-01,2017-01-01,2017,1,True,43,570.0232558139535,599.0,24511,30.81737160196226,747,1.0,5.8386667806000325,154,0.627906976744186,0.19244655203442929,6,0.09302325581395349,0.5227164501736606,12,0.18604651162790697,3.6295244975691507,99,0.7674418604651163,0.2184762572922747,30.47091412742382,4.3478260869565215,0.0,0.0,2.9197080291970803
2017-02,2017-02,2017-02-01,2017,2,True,45,662.8222222222222,574.0,29827,30.844262832087512,889,1.0,3.8200273860707847,103,0.6666666666666666,0.5668333239881745,21,0.2,0.1855848038371209,5,0.1111111111111111,3.9693018970317553,131,0.7555555555555555,0.15803381037174136,30.150753768844222,2.074688796680498,0.0,0.0,3.1104199066874028
2017-03,2017-03,2017-03-01,2017,3,True,45,657.4,615.0,29583,28.994503605299435,831,1.0,3.023864128361671,88,0.4222222222222222,0.7680459223943246,22,0.2,0.18833685921570253,5,0.06666666666666667,3.4170049059074783,110,0.6666666666666666,0.15882397248987407,27.972027972027973,0.0,0.0,0.0,3.1695721077654517
2017-04,2017-04,2017-04-01,2017,4,True,42,598.5238095238095,499.5,25138,32.351482300022205,792,1.0,4.134844491500396,136,0.38095238095238093,1.0084181893868058,19,0.16666666666666666,0.2102247163376755,6,0.07142857142857142,3.6173635934881254,120,0.6190476190476191,0.1518868728532594,28.888950706576164,0.0,0.0,0.0,1.8448371664385326
2017-05,2017-05,2017-05-01,2017,5,True,46,530.0434782608696,456.0,24382,31.341374120516043,734,1.0,3.119175627607401,95,0.5217391304347826,0.2107839911018651,5,0.08695652173913043,0.7092150178352216,19,0.10869565217391304,4.482997031261689,121,0.8478260869565217,0.11582854350853024,30.568515749858225,1.2904313750682554,0.0,0.0,3.781510603946297
2017-06,2017-06,2017-06-01,2017,6,True,41,766.8048780487804,591.0,31439,32.388649804617785,944,1.0,5.879422403273123,166,0.7073170731707317,0.28733253547584314,9,0.14634146341463414,0.10073429924120829,6,0.04878048780487805,3.2396383718388195,109,0.8048780487804879,0.22857964496538263,31.685678073510772,2.1052631578947367,0.0,0.0,3.4153005464480874
2017-07,2017-07,2017-07-01,2017,7,True,48,751.6458333333334,584.0,36079,26.94640322203387,990,1.0,3.504454263094909,95,0.5,0.988238855232281,45,0.2916666666666667,0.20714204195555294,11,0.10416666666666667,3.875051600834636,156,0.8125,0.18928565784880258,25.94997594997595,0.3259452411994785,0.0,0.0,2.779709473033534
2017-08,2017-08,2017-08-01,2017,8,True,45,588.9777777777778,507.0,26504,31.422262544153618,800,1.0,2.5805804032437165,71,0.6222222222222222,3.2274651155794407,102,0.26666666666666666,0.4709060610227133,10,0.17777777777777778,4.906595124393598,136,0.8,0.08513602901629426,32.200357781753134,1.7889087656529516,0.0,0.0,4.1208791208791204
2017-09,2017-09,2017-09-01,2017,9,True,45,592.6666666666666,498.0,26670,32.3909646630359,840,1.0,3.1653861967408616,74,0.5333333333333333,1.315570924017899,39,0.37777777777777777,0.4624645172573349,11,0.17777777777777778,3.136376387188329,86,0.6666666666666666,0.14224329750607792,30.501089324618736,0.9900990099009901,0.0,0.0,3.028009084027252
