month,year_month,month_dt,year,month_num,tone_month_has_articles,n_articles_tone_indicators,tone_positive_terms_total,tone_negative_terms_total,tone_positive_terms_per_1000_mean,tone_negative_terms_per_1000_mean,tone_net_score_per_1000_mean,tone_negative_share_mean,share_articles_negative_tone,share_articles_positive_tone,share_articles_neutral_tone
2021-10,2021-10,2021-10-01,2021,10,True,45,97,112,3.818214732727207,4.219397639008065,-0.401182906280858,0.5555379188712523,0.4888888888888889,0.3333333333333333,0.17777777777777778
2021-11,2021-11,2021-11-01,2021,11,True,48,124,115,4.594390740968657,4.054144233664654,0.5402465073040033,0.48505510693010695,0.375,0.4375,0.1875
2021-12,2021-12,2021-12-01,2021,12,True,44,108,107,3.9735471241735287,3.4030811535150742,0.5704659706584545,0.5268998211932995,0.4318181818181818,0.38636363636363635,0.18181818181818182
2022-01,2022-01,2022-01-01,2022,1,True,44,125,94,4.435661503488438,3.5290525207775785,0.9066089827108595,0.43289456755365846,0.2727272727272727,0.5,0.22727272727272727
2022-02,2022-02,2022-02-01,2022,2,True,42,97,87,3.470922815176947,2.9842768265187636,0.486645988658184,0.45172730708444997,0.35714285714285715,0.4523809523809524,0.19047619047619047
2022-03,2022-03,2022-03-01,2022,3,True,43,165,68,6.9074203312224185,2.5631575033627496,4.344262827859669,0.3053881518997798,0.13953488372093023,0.7209302325581395,0.13953488372093023
2022-04,2022-04,2022-04-01,2022,4,True,48,123,61,5.285893535111485,2.366011151279337,2.9198823838321477,0.3461801508676509,0.14583333333333334,0.5833333333333334,0.2708333333333333
2022-05,2022-05,2022-05-01,2022,5,True,43,118,64,5.981885409731396,2.420227821646916,3.56165758808448,0.32578042492543174,0.23255813953488372,0.6046511627906976,0.16279069767441862
2022-06,2022-06,2022-06-01,2022,6,True,43,124,82,4.834405535390386,3.397228581530267,1.4371769538601176,0.40795718998449026,0.23255813953488372,0.5348837209302325,0.23255813953488372
2022-07,2022-07,2022-07-01,2022,7,True,57,115,125,3.8748413024205335,3.1508266048497644,0.7240146975707689,0.48896546922862716,0.3508771929824561,0.43859649122807015,0.21052631578947367
2022-08,2022-08,2022-08-01,2022,8,True,72,194,153,4.378452052922966,3.428001922360892,0.9504501305620734,0.4644016227962306,0.3888888888888889,0.4444444444444444,0.16666666666666666
