month_id,year,month,batch_id,raw_article_count,kept_article_count,dropped_article_count,keep_share,unique_source_count,total_word_count_kept,mean_word_count_kept,median_word_count_kept,duplicate_exact_count,duplicate_near_count,regional_variant_count,malformed_count,reader_letter_drop_count,commentary_noncore_drop_count,very_short_low_value_drop_count,source_top1,source_top1_count,source_top2,source_top2_count,source_top3,source_top3_count,freeze_status,notes,kept_share_of_raw,duplicate_burden,dropped_share,shock_month_flag,shock_window_flag_placeholder
2021-09,2021,9,2021-09,75,63,12,0.84,10,42353,672.27,547,2,0,6,2,0,2,0,Frankfurter Rundschau,14,Rheinische Post,12,"taz, die tageszeitung",9,frozen,,0.84,0.106667,0.16,0,
2021-10,2021,10,2021-10,50,45,5,0.9,10,28892,642.044,604,2,0,1,0,0,2,0,"taz, die tageszeitung",9,Rheinische Post,7,Südwest Presse,7,frozen,,0.9,0.06,0.1,0,
2021-11,2021,11,2021-11,50,48,2,0.96,10,27182,566.292,591.0,1,0,0,0,0,1,0,Frankfurter Rundschau,10,Der Tagesspiegel,8,Südwest Presse,7,frozen,,0.96,0.02,0.04,0,
2021-12,2021,12,2021-12,50,44,6,0.88,9,29057,660.386,655.0,3,0,2,0,0,1,0,Frankfurter Rundschau,10,Rheinische Post,8,Die Welt,7,frozen,,0.88,0.1,0.12,0,
2022-01,2022,1,2022-01,58,44,14,0.758621,9,28705,652.386,564.5,7,0,4,0,1,2,0,Frankfurter Rundschau,12,Rheinische Post,10,"taz, die tageszeitung",5,frozen,,0.758621,0.189655,0.241379,0,
2022-02,2022,2,2022-02,50,42,8,0.84,9,25942,617.667,587.0,6,0,2,0,0,0,0,Rheinische Post,9,Frankfurter Rundschau,7,Der Tagesspiegel,6,frozen,,0.84,0.16,0.16,0,
2022-03,2022,3,2022-03,50,43,7,0.86,7,25803,600.07,584,5,0,1,0,0,1,0,Rheinische Post,22,Nordwest-Zeitung,6,Die Welt,4,frozen,,0.86,0.12,0.14,0,
2022-04,2022,4,2022-04,50,48,2,0.96,9,25459,530.396,451.5,2,0,0,0,0,0,0,Nordwest-Zeitung,11,Rheinische Post,10,Der Tagesspiegel,6,frozen,,0.96,0.04,0.04,0,
2022-05,2022,5,2022-05,50,43,7,0.86,9,22400,520.93,441,4,0,2,0,1,0,0,Rheinische Post,12,Berliner Zeitung,7,Nordwest-Zeitung,7,frozen,,0.86,0.12,0.14,0,
2022-06,2022,6,2022-06,50,43,7,0.86,9,23348,542.977,418,6,0,1,0,0,0,0,Rheinische Post,15,Die Welt,6,Frankfurter Rundschau,6,frozen,,0.86,0.14,0.14,0,
