month_folder,status,processed,pdf_count,keep,drop,review,run_timestamp,download_status_tracker,log_line
2022-07,skipped_existing,no,78,57,21,0,2026-04-29T20:10:58,done,[2022-07] status=skipped_existing processed=no pdf_count=78 keep=57 drop=21 review=0
2022-08,skipped_existing,no,94,72,22,0,2026-04-29T20:10:58,done,[2022-08] status=skipped_existing processed=no pdf_count=94 keep=72 drop=22 review=0
2022-09,skipped_existing,no,50,42,8,0,2026-04-29T20:10:58,done,[2022-09] status=skipped_existing processed=no pdf_count=50 keep=42 drop=8 review=0
2022-10,skipped_existing,no,99,78,20,1,2026-04-29T20:10:58,done,[2022-10] status=skipped_existing processed=no pdf_count=99 keep=78 drop=20 review=1
2022-11,skipped_existing,no,50,43,7,0,2026-04-29T20:10:58,done,[2022-11] status=skipped_existing processed=no pdf_count=50 keep=43 drop=7 review=0
2022-12,skipped_existing,no,50,45,5,0,2026-04-29T20:10:58,done,[2022-12] status=skipped_existing processed=no pdf_count=50 keep=45 drop=5 review=0
2023-01,skipped_existing,no,100,84,16,0,2026-04-29T20:10:58,done,[2023-01] status=skipped_existing processed=no pdf_count=100 keep=84 drop=16 review=0
2023-02,skipped_existing,no,50,41,9,0,2026-04-29T20:10:58,done,[2023-02] status=skipped_existing processed=no pdf_count=50 keep=41 drop=9 review=0
2023-03,skipped_existing,no,50,43,7,0,2026-04-29T20:10:58,done,[2023-03] status=skipped_existing processed=no pdf_count=50 keep=43 drop=7 review=0
2023-04,skipped_existing,no,50,46,4,0,2026-04-29T20:10:58,done,[2023-04] status=skipped_existing processed=no pdf_count=50 keep=46 drop=4 review=0
2023-05,skipped_existing,no,50,42,8,0,2026-04-29T20:10:58,done,[2023-05] status=skipped_existing processed=no pdf_count=50 keep=42 drop=8 review=0
2023-06,skipped_existing,no,50,46,4,0,2026-04-29T20:10:58,done,[2023-06] status=skipped_existing processed=no pdf_count=50 keep=46 drop=4 review=0
2023-07,skipped_existing,no,50,41,9,0,2026-04-29T20:10:58,done,[2023-07] status=skipped_existing processed=no pdf_count=50 keep=41 drop=9 review=0
2023-08,skipped_existing,no,100,79,21,0,2026-04-29T20:10:58,done,[2023-08] status=skipped_existing processed=no pdf_count=100 keep=79 drop=21 review=0
2023-09,skipped_existing,no,100,81,19,0,2026-04-29T20:10:58,done,[2023-09] status=skipped_existing processed=no pdf_count=100 keep=81 drop=19 review=0
2023-10,skipped_existing,no,99,76,23,0,2026-04-29T20:10:58,done,[2023-10] status=skipped_existing processed=no pdf_count=99 keep=76 drop=23 review=0
2023-11,skipped_existing,no,50,44,6,0,2026-04-29T20:10:58,done,[2023-11] status=skipped_existing processed=no pdf_count=50 keep=44 drop=6 review=0
2023-12,skipped_existing,no,50,46,4,0,2026-04-29T20:10:58,done,[2023-12] status=skipped_existing processed=no pdf_count=50 keep=46 drop=4 review=0
2024-01,skipped_existing,no,50,42,8,0,2026-04-29T20:10:58,done,[2024-01] status=skipped_existing processed=no pdf_count=50 keep=42 drop=8 review=0
2024-02,skipped_existing,no,50,41,9,0,2026-04-29T20:10:58,done,[2024-02] status=skipped_existing processed=no pdf_count=50 keep=41 drop=9 review=0
2024-03,skipped_existing,no,50,41,9,0,2026-04-29T20:10:58,done,[2024-03] status=skipped_existing processed=no pdf_count=50 keep=41 drop=9 review=0
2024-04,skipped_existing,no,50,43,7,0,2026-04-29T20:10:58,done,[2024-04] status=skipped_existing processed=no pdf_count=50 keep=43 drop=7 review=0
2024-05,skipped_existing,no,82,66,16,0,2026-04-29T20:10:58,done,[2024-05] status=skipped_existing processed=no pdf_count=82 keep=66 drop=16 review=0
2024-06,skipped_existing,no,99,81,18,0,2026-04-29T20:10:58,done,[2024-06] status=skipped_existing processed=no pdf_count=99 keep=81 drop=18 review=0
2024-07,skipped_existing,no,50,45,5,0,2026-04-29T20:10:58,done,[2024-07] status=skipped_existing processed=no pdf_count=50 keep=45 drop=5 review=0
2024-08,skipped_existing,no,100,75,25,0,2026-04-29T20:10:58,done,[2024-08] status=skipped_existing processed=no pdf_count=100 keep=75 drop=25 review=0
