month,year_month,year,month_num,nexis_total_results,media_salience_volume_raw,media_salience_volume_log1p,media_salience_volume_z,raw_article_count,download_fraction,retrieval_mismatch_flag,high_download_sample_flag,kept_article_count,cleaned_sample_size,cleaned_sample_fraction,cleaned_sample_log1p,cleaned_sample_z
2018-04,2018-04,2018,4,164,164,5.10594547390058,-0.10576190593140193,95,0.5792682926829268,False,True,83,83,0.5060975609756098,4.430816798843313,1.4292053161523361
2018-05,2018-05,2018,5,212,212,5.3612921657094255,0.21063647665522917,50,0.2358490566037736,False,False,44,44,0.20754716981132076,3.8066624897703196,-0.652998980655809
2018-06,2018-06,2018,6,295,295,5.69035945432406,0.7577420132112788,98,0.33220338983050846,False,True,84,84,0.2847457627118644,4.442651256490317,1.4825951699166475
2018-07,2018-07,2018,7,225,225,5.420534999272286,0.2963277052724418,50,0.2222222222222222,False,False,45,45,0.2,3.828641396489095,-0.5996091268914975
2018-08,2018-08,2018,8,209,209,5.3471075307174685,0.19086157774356471,98,0.4688995215311005,False,True,82,82,0.3923444976076555,4.418840607796598,1.3758154623880248
2018-09,2018-09,2018,9,125,125,4.836281906951478,-0.3628355917830397,50,0.4,False,False,45,45,0.36,3.828641396489095,-0.5996091268914975
2018-10,2018-10,2018,10,157,157,5.062595033026967,-0.15190333672528564,94,0.5987261146496815,False,True,64,64,0.40764331210191085,4.174387269895637,0.4147980946304193
2018-11,2018-11,2018,11,349,349,5.857933154483459,1.1136901936212389,90,0.25787965616045844,False,True,40,40,0.11461318051575932,3.713572066704308,-0.8665583957130546
2018-12,2018-12,2018,12,183,183,5.214935757608986,0.019479120509139542,98,0.5355191256830601,False,True,48,48,0.26229508196721313,3.8918202981106265,-0.4394395655985633
2019-01,2019-01,2019,1,293,293,5.683579767338681,0.7445587472701691,150,0.5119453924914675,False,True,42,42,0.14334470989761092,3.7612001156935624,-0.7597786881844317
2019-02,2019-02,2019,2,97,97,4.584967478670572,-0.5474013149585745,95,0.979381443298969,False,True,75,75,0.7731958762886598,4.330733340286331,1.002086486037845
2019-03,2019-03,2019,3,118,118,4.77912349311153,-0.4089770225769234,99,0.8389830508474576,False,True,76,76,0.6440677966101694,4.343805421853684,1.0554763398021563
2019-04,2019-04,2019,4,97,97,4.584967478670572,-0.5474013149585745,94,0.9690721649484536,False,True,78,78,0.8041237113402062,4.3694478524670215,1.162256047330779
2019-05,2019-05,2019,5,66,66,4.204692619390966,-0.7517419370457737,64,0.9696969696969697,False,True,54,54,0.8181818181818182,4.007333185232471,-0.11910044301269483
2019-06,2019-06,2019,6,74,74,4.31748811353631,-0.6990088732813352,73,0.9864864864864865,False,True,57,57,0.7702702702702703,4.060443010546419,0.0410691182802394
2019-07,2019-07,2019,7,101,101,4.624972813284271,-0.5210347830763553,50,0.49504950495049505,False,False,48,48,0.4752475247524752,3.8918202981106265,-0.4394395655985633
2019-08,2019-08,2019,8,99,99,4.605170185988092,-0.534218049017465,50,0.5050505050505051,False,False,42,42,0.42424242424242425,3.7612001156935624,-0.7597786881844317
2019-09,2019-09,2019,9,104,104,4.653960350157523,-0.5012598841646908,50,0.4807692307692308,False,False,42,42,0.40384615384615385,3.7612001156935624,-0.7597786881844317
2019-10,2019-10,2019,10,103,103,4.6443908991413725,-0.5078515171352457,50,0.4854368932038835,False,False,46,46,0.44660194174757284,3.8501476017100584,-0.5462192731271861
2019-11,2019-11,2019,11,112,112,4.727387818712341,-0.4485268204002523,50,0.44642857142857145,False,False,46,46,0.4107142857142857,3.8501476017100584,-0.5462192731271861
2019-12,2019-12,2019,12,104,104,4.653960350157523,-0.5012598841646908,50,0.4807692307692308,False,False,41,41,0.3942307692307692,3.7376696182833684,-0.8131685419487432
2020-01,2020-01,2020,1,90,90,4.51085950651685,-0.5935427457524582,50,0.5555555555555556,False,False,41,41,0.45555555555555555,3.7376696182833684,-0.8131685419487432
2020-02,2020-02,2020,2,87,87,4.477336814478207,-0.6133176446641226,50,0.5747126436781609,False,False,45,45,0.5172413793103449,3.828641396489095,-0.5996091268914975
2020-03,2020-03,2020,3,145,145,4.983606621708336,-0.23100293237194341,50,0.3448275862068966,False,False,43,43,0.296551724137931,3.784189633918261,-0.7063888344201203
2020-04,2020-04,2020,4,92,92,4.532599493153256,-0.5803594798113486,50,0.5434782608695652,False,False,45,45,0.4891304347826087,3.828641396489095,-0.5996091268914975
